466 29 1
467 28 2
468 27 3
469 26 4
470 25 5
471 24 6
472 23 7
473 22 8
474 21 9
475 20 10
476 19 11
477 18 12
478 17 13
479 16 14
480 15 15
481 14 16
482 13 17
483 12 18
484 11 19
485 10 20
486 9 21
487 8 22
488 7 23
489 6 24
490 5 25
491 4 26
492 3 27
493 2 28
494 1 29
495 0 30
496 31 0
497 30 1
498 29 2
499 28 3
500 27 4
501 26 5
502 25 6
503 24 7
504 23 8
505 22 9
506 21 10
507 20 11
508 19 12
509 18 13
510 17 14
511 16 15
512 15 16
513 14 17
514 13 18
515 12 19
516 11 20
517 10 21
518 9 22
519 8 23
520 7 24
521 6 25
522 5 26
523 4 27
524 3 28
525 2 29
526 1 30
527 0 31
528 32 0
529 31 1
530 30 2
531 29 3
532 28 4
533 27 5
534 26 6
535 25 7
536 24 8
537 23 9
538 22 10
539 21 11
540 20 12
541 19 13
542 18 14
543 17 15
544 16 16
545 15 17
546 14 18
547 13 19
548 12 20
549 11 21
550 10 22
551 9 23
552 8 24
553 7 25
554 6 26
555 5 27
556 4 28
557 3 29
558 2 30
559 1 31
560 0 32
561 33 0
562 32 1
563 31 2
564 30 3
565 29 4
566 28 5
567 27 6
568 26 7
569 25 8
570 24 9
571 23 10
572 22 11
573 21 12
574 20 13
575 19 14
576 18 15
577 17 16
578 16 17
579 15 18
580 14 19
581 13 20
582 12 21
583 11 22
584 10 23
585 9 24
586 8 25
587 7 26
588 6 27
589 5 28
590 4 29
591 3 30
592 2 31
593 1 32
594 0 33
595 34 0
596 33 1
597 32 2
598 31 3
599 30 4
600 29 5
601 28 6
602 27 7
603 26 8
604 25 9
605 24 10
606 23 11
607 22 12
608 21 13
609 20 14
610 19 15
611 18 16
612 17 17
613 16 18
614 15 19
615 14 20
616 13 21
617 12 22
618 11 23
619 10 24
620 9 25
621 8 26
622 7 27
623 6 28
624 5 29
625 4 30
626 3 31
627 2 32
628 1 33
629 0 34
630 35 0
631 34 1
632 33 2
633 32 3
634 31 4
635 30 5
636 29 6
637 28 7
638 27 8
639 26 9
640 25 10
641 24 11
642 23 12
643 22 13
644 21 14
645 20 15
646 19 16
647 18 17
648 17 18
649 16 19
650 15 20
651 14 21
652 13 22
653 12 23
654 11 24
655 10 25
656 9 26
657 8 27
658 7 28
659 6 29
660 5 30
661 4 31
662 3 32
663 2 33
664 1 34
665 0 35
666 36 0
667 35 1
668 34 2
669 33 3
670 32 4
671 31 5
672 30 6
673 29 7
674 28 8
675 27 9
676 26 10
677 25 11
678 24 12
679 23 13
680 22 14
681 21 15
682 20 16
683 19 17
684 18 18
685 17 19
686 16 20
687 15 21
688 14 22
689 13 23
690 12 24
691 11 25
692 10 26
693 9 27
694 8 28
695 7 29
696 6 30
697 5 31
698 4 32
699 3 33
700 2 34
701 1 35
702 0 36
703 37 0
704 36 1
705 35 2
706 34 3
707 33 4
708 32 5
709 31 6
710 30 7
711 29 8
712 28 9
713 27 10
714 26 11
715 25 12
716 24 13
717 23 14
718 22 15
719 21 16
720 20 17
721 19 18
722 18 19
723 17 20
724 16 21
725 15 22
726 14 23
727 13 24
728 12 25
729 11 26
730 10 27
731 9 28
732 8 29
733 7 30
734 6 31
735 5 32
736 4 33
737 3 34
738 2 35
739 1 36
740 0 37
741 38 0
742 37 1
743 36 2
744 35 3
745 34 4
746 33 5
747 32 6
748 31 7
749 30 8
750 29 9
751 28 10
752 27 11
753 26 12
754 25 13
755 24 14
756 23 15
757 22 16
758 21 17
759 20 18
760 19 19
761 18 20
762 17 21
763 16 22
764 15 23
765 14 24
766 13 25
767 12 26
768 11 27
769 10 28
770 9 29
771 8 30
772 7 31
773 6 32
774 5 33
775 4 34
776 3 35
777 2 36
778 1 37
779 0 38
780 39 0
781 38 1
782 37 2
783 36 3
784 35 4
785 34 5
786 33 6
787 32 7
788 31 8
789 30 9
790 29 10
791 28 11
792 27 12
793 26 13
794 25 14
795 24 15
796 23 16
797 22 17
798 21 18
799 20 19
800 19 20
801 18 21
802 17 22
803 16 23
804 15 24
805 14 25
806 13 26
807 12 27
808 11 28
809 10 29
810 9 30
811 8 31
812 7 32
813 6 33
814 5 34
815 4 35
816 3 36
817 2 37
818 1 38
819 0 39
820 40 0
821 39 1
822 38 2
823 37 3
824 36 4
825 35 5
826 34 6
827 33 7
828 32 8
829 31 9
830 30 10
831 29 11
832 28 12
833 27 13
834 26 14
835 25 15
836 24 16
837 23 17
838 22 18
839 21 19
840 20 20
841 19 21
842 18 22
843 17 23
844 16 24
845 15 25
846 14 26
847 13 27
848 12 28
849 11 29
850 10 30
851 9 31
852 8 32
853 7 33
854 6 34
855 5 35
856 4 36
857 3 37
858 2 38
859 1 39
860 0 40
861 41 0
862 40 1
863 39 2
864 38 3
865 37 4
866 36 5
867 35 6
868 34 7
869 33 8
870 32 9
871 31 10
872 30 11
873 29 12
874 28 13
875 27 14
876 26 15
877 25 16
878 24 17
879 23 18
880 22 19
881 21 20
882 20 21
883 19 22
884 18 23
885 17 24
886 16 25
887 15 26
888 14 27
889 13 28
890 12 29
891 11 30
892 10 31
893 9 32
894 8 33
895 7 34
896 6 35
897 5 36
898 4 37
899 3 38
900 2 39
901 1 40
902 0 41
903 42 0
904 41 1
905 40 2
906 39 3
907 38 4
908 37 5
909 36 6
910 35 7
911 34 8
912 33 9
913 32 10
914 31 11
915 30 12
916 29 13
917 28 14
918 27 15
919 26 16
920 25 17
921 24 18
922 23 19
923 22 20
924 21 21
925 20 22
926 19 23
927 18 24
928 17 25
929 16 26
930 15 27
931 14 28
932 13 29
933 12 30
934 11 31
935 10 32
936 9 33
937 8 34
938 7 35
939 6 36
940 5 37
941 4 38
942 3 39
943 2 40
944 1 41
945 0 42
946 43 0
947 42 1
948 41 2
949 40 3
950 39 4
951 38 5
952 37 6
953 36 7
954 35 8
955 34 9
956 33 10
957 32 11
958 31 12
959 30 13
960 29 14
961 28 15
962 27 16
963 26 17
964 25 18
965 24 19
966 23 20
967 22 21
968 21 22
969 20 23
970 19 24
971 18 25
972 17 26
973 16 27
974 15 28
975 14 29
976 13 30
977 12 31
978 11 32
979 10 33
980 9 34
981 8 35
982 7 36
983 6 37
984 5 38
985 4 39
986 3 40
987 2 41
988 1 42
989 0 43
990 44 0
991 43 1
992 42 2
993 41 3
994 40 4
995 39 5
996 38 6
997 37 7
998 36 8
999 35 9
1000 34 10
1001 33 11
1002 32 12
1003 31 13
1004 30 14
1005 29 15
1006 28 16
1007 27 17
1008 26 18
1009 25 19
1010 24 20
1011 23 21
1012 22 22
1013 21 23
1014 20 24
1015 19 25
1016 18 26
1017 17 27
1018 16 28
1019 15 29
1020 14 30
1021 13 31
1022 12 32
1023 11 33
1024 10 34
1025 9 35
1026 8 36
1027 7 37
1028 6 38
1029 5 39
1030 4 40
1031 3 41
1032 2 42
1033 1 43
1034 0 44
1035 45 0
1036 44 1
1037 43 2
1038 42 3
1039 41 4
1040 40 5
1041 39 6
1042 38 7
1043 37 8
1044 36 9
1045 35 10
1046 34 11
1047 33 12
1048 32 13
1049 31 14
1050 30 15
1051 29 16
1052 28 17
1053 27 18
1054 26 19
1055 25 20
1056 24 21
1057 23 22
1058 22 23
1059 21 24
1060 20 25
1061 19 26
1062 18 27
1063 17 28
1064 16 29
1065 15 30
1066 14 31
1067 13 32
1068 12 33
1069 11 34
1070 10 35
1071 9 36
1072 8 37
1073 7 38
1074 6 39
1075 5 40
1076 4 41
1077 3 42
1078 2 43
1079 1 44
1080 0 45
1081 46 0
1082 45 1
1083 44 2
1084 43 3
1085 42 4
1086 41 5
1087 40 6
1088 39 7
1089 38 8
1090 37 9
1091 36 10
1092 35 11
1093 34 12
1094 33 13
1095 32 14
1096 31 15
1097 30 16
1098 29 17
1099 28 18
1100 27 19
1101 26 20
1102 25 21
1103 24 22
1104 23 23
1105 22 24
1106 21 25
1107 20 26
1108 19 27
1109 18 28
1110 17 29
1111 16 30
1112 15 31
1113 14 32
1114 13 33
1115 12 34
1116 11 35
1117 10 36
1118 9 37
1119 8 38
1120 7 39
1121 6 40
1122 5 41
1123 4 42
1124 3 43
1125 2 44
1126 1 45
1127 0 46
1128 47 0
1129 46 1
1130 45 2
1131 44 3
1132 43 4
1133 42 5
1134 41 6
1135 40 7
1136 39 8
1137 38 9
1138 37 10
1139 36 11
1140 35 12
1141 34 13
1142 33 14
1143 32 15
1144 31 16
1145 30 17
1146 29 18
1147 28 19
1148 27 20
1149 26 21
1150 25 22
1151 24 23
1152 23 24
1153 22 25
1154 21 26
1155 20 27
1156 19 28
1157 18 29
1158 17 30
1159 16 31
1160 15 32
1161 14 33
1162 13 34
1163 12 35
1164 11 36
1165 10 37
1166 9 38
1167 8 39
1168 7 40
1169 6 41
1170 5 42
1171 4 43
1172 3 44
1173 2 45
1174 1 46
1175 0 47
1176 48 0
1177 47 1
1178 46 2
1179 45 3
1180 44 4
1181 43 5
1182 42 6
1183 41 7
1184 40 8
1185 39 9
1186 38 10
1187 37 11
1188 36 12
1189 35 13
1190 34 14
1191 33 15
1192 32 16
1193 31 17
1194 30 18
1195 29 19
1196 28 20
1197 27 21
1198 26 22
1199 25 23
1200 24 24
1201 23 25
1202 22 26
1203 21 27
1204 20 28
1205 19 29
1206 18 30
1207 17 31
1208 16 32
1209 15 33
1210 14 34
1211 13 35
1212 12 36
1213 11 37
1214 10 38
1215 9 39
1216 8 40
1217 7 41
1218 6 42
1219 5 43
1220 4 44
1221 3 45
1222 2 46
1223 1 47
1224 0 48
1225 49 0
1226 48 1
1227 47 2
1228 46 3
1229 45 4
1230 44 5
1231 43 6
1232 42 7
1233 41 8
1234 40 9
1235 39 10
1236 38 11
1237 37 12
1238 36 13
1239 35 14
1240 34 15
1241 33 16
1242 32 17
1243 31 18
1244 30 19
1245 29 20
1246 28 21
1247 27 22
1248 26 23
1249 25 24
1250 24 25
1251 23 26
1252 22 27
1253 21 28
1254 20 29
1255 19 30
1256 18 31
1257 17 32
1258 16 33
1259 15 34
1260 14 35
1261 13 36
1262 12 37
1263 11 38
1264 10 39
1265 9 40
1266 8 41
1267 7 42
1268 6 43
1269 5 44
1270 4 45
1271 3 46
1272 2 47
1273 1 48
1274 0 49
1275 50 0
1276 49 1
1277 48 2
1278 47 3
1279 46 4
1280 45 5
1281 44 6
1282 43 7
1283 42 8
1284 41 9
1285 40 10
1286 39 11
1287 38 12
1288 37 13
1289 36 14
1290 35 15
1291 34 16
1292 33 17
1293 32 18
1294 31 19
1295 30 20
1296 29 21
1297 28 22
1298 27 23
1299 26 24
1300 25 25
1301 24 26
1302 23 27
1303 22 28
1304 21 29
1305 20 30
1306 19 31
1307 18 32
1308 17 33
1309 16 34
1310 15 35
1311 14 36
1312 13 37
1313 12 38
1314 11 39
1315 10 40
1316 9 41
1317 8 42
1318 7 43
1319 6 44
1320 5 45
1321 4 46
1322 3 47
1323 2 48
1324 1 49
1325 0 50
1326 51 0
1327 50 1
1328 49 2
1329 48 3
1330 47 4
1331 46 5
1332 45 6
1333 44 7
1334 43 8
1335 42 9
1336 41 10
1337 40 11
1338 39 12
1339 38 13
1340 37 14
1341 36 15
1342 35 16
1343 34 17
1344 33 18
1345 32 19
1346 31 20
1347 30 21
1348 29 22
1349 28 23
1350 27 24
1351 26 25
1352 25 26
1353 24 27
1354 23 28
1355 22 29
1356 21 30
1357 20 31
1358 19 32
1359 18 33
1360 17 34
1361 16 35
1362 15 36
1363 14 37
1364 13 38
1365 12 39
1366 11 40
1367 10 41
1368 9 42
1369 8 43
1370 7 44
1371 6 45
1372 5 46
1373 4 47
1374 3 48
1375 2 49
1376 1 50
1377 0 51
1378 52 0
1379 51 1
1380 50 2
1381 49 3
1382 48 4
1383 47 5
1384 46 6
1385 45 7
1386 44 8
1387 43 9
1388 42 10
1389 41 11
1390 40 12
1391 39 13
1392 38 14
1393 37 15
1394 36 16
1395 35 17
1396 34 18
1397 33 19
1398 32 20
1399 31 21
1400 30 22
1401 29 23
1402 28 24
1403 27 25
1404 26 26
1405 25 27
1406 24 28
1407 23 29
1408 22 30
1409 21 31
1410 20 32
1411 19 33
1412 18 34
1413 17 35
1414 16 36
1415 15 37
1416 14 38
1417 13 39
1418 12 40
1419 11 41
1420 10 42
1421 9 43
1422 8 44
1423 7 45
1424 6 46
1425 5 47
1426 4 48
1427 3 49
1428 2 50
1429 1 51
1430 0 52
1431 53 0
1432 52 1
1433 51 2
1434 50 3
1435 49 4
1436 48 5
1437 47 6
1438 46 7
1439 45 8
1440 44 9
1441 43 10
1442 42 11
1443 41 12
1444 40 13
1445 39 14
1446 38 15
1447 37 16
1448 36 17
1449 35 18
1450 34 19
1451 33 20
1452 32 21
1453 31 22
1454 30 23
1455 29 24
1456 28 25
1457 27 26
1458 26 27
1459 25 28
1460 24 29
1461 23 30
1462 22 31
1463 21 32
